"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 09 02:22:28 UTC 2023","Mon Oct 09 02:22:38 UTC 2023","10225","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Mon Oct 09 03:57:47 UTC 2023","Mon Oct 09 03:57:48 UTC 2023","1295","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Mon Oct 09 04:00:02 UTC 2023","Mon Oct 09 04:00:15 UTC 2023","12981","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Mon Oct 09 03:19:05 UTC 2023","Mon Oct 09 03:19:12 UTC 2023","6910","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon Oct 09 04:21:54 UTC 2023","Mon Oct 09 04:22:22 UTC 2023","28059","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Mon Oct 09 02:53:21 UTC 2023","Mon Oct 09 02:53:44 UTC 2023","23100","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Mon Oct 09 03:34:25 UTC 2023","Mon Oct 09 03:34:27 UTC 2023","1965","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Mon Oct 09 02:42:15 UTC 2023","Mon Oct 09 02:42:24 UTC 2023","8473","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Oct 09 04:36:49 UTC 2023","Mon Oct 09 04:36:50 UTC 2023","1204","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Oct 09 04:23:08 UTC 2023","Mon Oct 09 04:24:18 UTC 2023","69913","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Mon Oct 09 04:00:15 UTC 2023","Mon Oct 09 04:00:42 UTC 2023","26546","","21. Forgot password function","","","","2. Reset password",""
"passed","Mon Oct 09 02:38:48 UTC 2023","Mon Oct 09 02:38:51 UTC 2023","2546","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Oct 09 02:38:26 UTC 2023","Mon Oct 09 02:38:29 UTC 2023","2572","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Oct 09 02:43:56 UTC 2023","Mon Oct 09 02:44:52 UTC 2023","55634","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Mon Oct 09 03:16:16 UTC 2023","Mon Oct 09 03:16:34 UTC 2023","18387","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Oct 09 02:53:44 UTC 2023","Mon Oct 09 02:53:50 UTC 2023","5765","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Mon Oct 09 03:13:00 UTC 2023","Mon Oct 09 03:13:02 UTC 2023","1943","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Mon Oct 09 03:33:58 UTC 2023","Mon Oct 09 03:34:15 UTC 2023","17040","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Mon Oct 09 03:13:03 UTC 2023","Mon Oct 09 03:13:15 UTC 2023","11222","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Mon Oct 09 02:48:55 UTC 2023","Mon Oct 09 02:49:02 UTC 2023","7376","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Mon Oct 09 03:25:14 UTC 2023","Mon Oct 09 03:25:42 UTC 2023","27556","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Mon Oct 09 02:21:13 UTC 2023","Mon Oct 09 02:21:48 UTC 2023","35116","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Mon Oct 09 02:49:06 UTC 2023","Mon Oct 09 02:49:17 UTC 2023","11051","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Mon Oct 09 04:21:51 UTC 2023","Mon Oct 09 04:21:51 UTC 2023","26","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Mon Oct 09 02:21:48 UTC 2023","Mon Oct 09 02:22:00 UTC 2023","11326","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"failed","Mon Oct 09 04:24:36 UTC 2023","Mon Oct 09 04:27:45 UTC 2023","189822","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Mon Oct 09 02:30:08 UTC 2023","Mon Oct 09 02:30:12 UTC 2023","3550","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Oct 09 02:44:59 UTC 2023","Mon Oct 09 02:45:02 UTC 2023","3205","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Oct 09 02:32:32 UTC 2023","Mon Oct 09 02:32:44 UTC 2023","11710","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Mon Oct 09 04:24:33 UTC 2023","Mon Oct 09 04:24:35 UTC 2023","2371","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Mon Oct 09 03:46:29 UTC 2023","Mon Oct 09 03:46:47 UTC 2023","18179","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Mon Oct 09 04:36:46 UTC 2023","Mon Oct 09 04:36:49 UTC 2023","2550","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Oct 09 02:22:38 UTC 2023","Mon Oct 09 02:23:13 UTC 2023","34954","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Mon Oct 09 02:30:31 UTC 2023","Mon Oct 09 02:30:37 UTC 2023","6072","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Oct 09 02:41:56 UTC 2023","Mon Oct 09 02:42:15 UTC 2023","19384","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Oct 09 03:57:48 UTC 2023","Mon Oct 09 03:57:50 UTC 2023","1420","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Mon Oct 09 03:03:35 UTC 2023","Mon Oct 09 03:03:58 UTC 2023","22944","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Oct 09 03:57:44 UTC 2023","Mon Oct 09 03:57:47 UTC 2023","2961","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Mon Oct 09 04:21:25 UTC 2023","Mon Oct 09 04:21:43 UTC 2023","17945","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Mon Oct 09 03:12:23 UTC 2023","Mon Oct 09 03:12:23 UTC 2023","321","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Mon Oct 09 03:33:51 UTC 2023","Mon Oct 09 03:33:53 UTC 2023","2408","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Mon Oct 09 03:05:51 UTC 2023","Mon Oct 09 03:06:11 UTC 2023","20850","","9. Client Portal - Home","","","","1. Check links",""
"passed","Mon Oct 09 02:52:44 UTC 2023","Mon Oct 09 02:53:06 UTC 2023","22585","","6. Company Account","","","","1. Validate login credentials",""
"passed","Mon Oct 09 04:24:19 UTC 2023","Mon Oct 09 04:24:24 UTC 2023","5124","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Mon Oct 09 02:41:45 UTC 2023","Mon Oct 09 02:41:53 UTC 2023","8447","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Mon Oct 09 03:15:51 UTC 2023","Mon Oct 09 03:16:13 UTC 2023","21733","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Mon Oct 09 03:33:54 UTC 2023","Mon Oct 09 03:33:58 UTC 2023","4341","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Mon Oct 09 03:46:47 UTC 2023","Mon Oct 09 03:51:01 UTC 2023","254058","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon Oct 09 03:54:52 UTC 2023","Mon Oct 09 03:54:57 UTC 2023","4428","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Mon Oct 09 02:41:53 UTC 2023","Mon Oct 09 02:41:56 UTC 2023","2508","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Oct 09 02:25:11 UTC 2023","Mon Oct 09 02:25:18 UTC 2023","6907","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Mon Oct 09 02:20:15 UTC 2023","Mon Oct 09 02:20:51 UTC 2023","35373","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Oct 09 02:44:55 UTC 2023","Mon Oct 09 02:44:59 UTC 2023","4433","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Mon Oct 09 03:33:45 UTC 2023","Mon Oct 09 03:33:48 UTC 2023","2867","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Mon Oct 09 03:19:04 UTC 2023","Mon Oct 09 03:19:05 UTC 2023","1093","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Mon Oct 09 02:25:18 UTC 2023","Mon Oct 09 02:26:25 UTC 2023","66515","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Mon Oct 09 02:49:42 UTC 2023","Mon Oct 09 02:50:02 UTC 2023","20092","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Mon Oct 09 04:27:46 UTC 2023","Mon Oct 09 04:28:52 UTC 2023","66110","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Mon Oct 09 02:36:00 UTC 2023","Mon Oct 09 02:36:26 UTC 2023","26255","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Oct 09 04:21:43 UTC 2023","Mon Oct 09 04:21:51 UTC 2023","7704","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Mon Oct 09 03:18:43 UTC 2023","Mon Oct 09 03:19:04 UTC 2023","21075","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Mon Oct 09 02:54:36 UTC 2023","Mon Oct 09 02:54:37 UTC 2023","886","","6. Company Account","","","","9. Review Final Review",""
"passed","Mon Oct 09 02:49:39 UTC 2023","Mon Oct 09 02:49:42 UTC 2023","2558","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Oct 09 03:12:07 UTC 2023","Mon Oct 09 03:12:23 UTC 2023","15707","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Mon Oct 09 02:54:33 UTC 2023","Mon Oct 09 02:54:36 UTC 2023","3219","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Oct 09 04:36:50 UTC 2023","Mon Oct 09 04:36:58 UTC 2023","8115","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Mon Oct 09 02:35:48 UTC 2023","Mon Oct 09 02:35:57 UTC 2023","8620","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Mon Oct 09 03:34:15 UTC 2023","Mon Oct 09 03:34:25 UTC 2023","10120","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Mon Oct 09 02:43:53 UTC 2023","Mon Oct 09 02:43:56 UTC 2023","3236","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Oct 09 02:49:17 UTC 2023","Mon Oct 09 02:49:21 UTC 2023","3991","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Oct 09 04:22:26 UTC 2023","Mon Oct 09 04:22:31 UTC 2023","4869","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Mon Oct 09 02:30:00 UTC 2023","Mon Oct 09 02:30:08 UTC 2023","7857","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Mon Oct 09 02:36:26 UTC 2023","Mon Oct 09 02:36:36 UTC 2023","9520","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Oct 09 03:25:13 UTC 2023","Mon Oct 09 03:25:14 UTC 2023","1215","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Oct 09 03:13:15 UTC 2023","Mon Oct 09 03:13:15 UTC 2023","673","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Mon Oct 09 03:57:34 UTC 2023","Mon Oct 09 03:57:44 UTC 2023","9357","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Mon Oct 09 03:57:34 UTC 2023","Mon Oct 09 03:57:34 UTC 2023","546","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Mon Oct 09 02:32:32 UTC 2023","Mon Oct 09 02:32:32 UTC 2023","314","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Mon Oct 09 03:12:35 UTC 2023","Mon Oct 09 03:13:00 UTC 2023","25907","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Mon Oct 09 03:12:23 UTC 2023","Mon Oct 09 03:12:34 UTC 2023","11058","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Mon Oct 09 02:50:02 UTC 2023","Mon Oct 09 02:50:05 UTC 2023","3170","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Oct 09 04:23:04 UTC 2023","Mon Oct 09 04:23:08 UTC 2023","4291","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Mon Oct 09 03:33:38 UTC 2023","Mon Oct 09 03:33:41 UTC 2023","3679","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Mon Oct 09 02:49:02 UTC 2023","Mon Oct 09 02:49:06 UTC 2023","3205","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Oct 09 03:25:42 UTC 2023","Mon Oct 09 03:25:44 UTC 2023","2181","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Mon Oct 09 02:20:51 UTC 2023","Mon Oct 09 02:21:01 UTC 2023","10004","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Mon Oct 09 02:22:00 UTC 2023","Mon Oct 09 02:22:28 UTC 2023","28221","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Mon Oct 09 02:35:57 UTC 2023","Mon Oct 09 02:36:00 UTC 2023","3260","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"skipped","Mon Oct 09 02:21:01 UTC 2023","Mon Oct 09 02:21:01 UTC 2023","4","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Mon Oct 09 02:50:05 UTC 2023","Mon Oct 09 02:50:06 UTC 2023","473","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Oct 09 02:32:44 UTC 2023","Mon Oct 09 02:32:45 UTC 2023","786","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Oct 09 03:16:13 UTC 2023","Mon Oct 09 03:16:15 UTC 2023","2002","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Mon Oct 09 02:24:51 UTC 2023","Mon Oct 09 02:25:11 UTC 2023","20272","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Mon Oct 09 02:41:24 UTC 2023","Mon Oct 09 02:41:45 UTC 2023","20658","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Oct 09 04:24:24 UTC 2023","Mon Oct 09 04:24:33 UTC 2023","9347","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Mon Oct 09 02:21:01 UTC 2023","Mon Oct 09 02:21:13 UTC 2023","12147","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Mon Oct 09 02:54:14 UTC 2023","Mon Oct 09 02:54:33 UTC 2023","18464","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Mon Oct 09 04:22:22 UTC 2023","Mon Oct 09 04:22:26 UTC 2023","3949","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Mon Oct 09 02:45:56 UTC 2023","Mon Oct 09 02:45:58 UTC 2023","1931","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Mon Oct 09 02:38:51 UTC 2023","Mon Oct 09 02:38:52 UTC 2023","745","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Oct 09 02:23:56 UTC 2023","Mon Oct 09 02:24:00 UTC 2023","4123","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Mon Oct 09 04:37:22 UTC 2023","Mon Oct 09 04:37:23 UTC 2023","1488","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Mon Oct 09 02:54:12 UTC 2023","Mon Oct 09 02:54:14 UTC 2023","2456","","6. Company Account","","","","6. Review Review Page",""
"passed","Mon Oct 09 04:21:51 UTC 2023","Mon Oct 09 04:21:54 UTC 2023","3273","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Mon Oct 09 03:25:10 UTC 2023","Mon Oct 09 03:25:13 UTC 2023","3226","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Oct 09 03:16:15 UTC 2023","Mon Oct 09 03:16:16 UTC 2023","325","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Mon Oct 09 03:33:23 UTC 2023","Mon Oct 09 03:33:38 UTC 2023","14192","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Mon Oct 09 03:54:50 UTC 2023","Mon Oct 09 03:54:52 UTC 2023","2631","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
